Category,End Use,Amount,ssc_name,Sector,Taueime,End date,suburb
Electricity,All,24911686.44,ALEXANDRIA,Residential,2006-07-01,30/06/2007,10022
Electricity,All,16808132.77,ALEXANDRIA,Residential,2007-07-01,30/06/2008,10022
Electricity,All,16741060.14,ALEXANDRIA,Residential,2008-07-01,30/06/2009,10022
Electricity,All,16514198.28,ALEXANDRIA,Residential,2009-07-01,30/06/2010,10022
Electricity,All,16776563.02,ALEXANDRIA,Residential,2010-07-01,30/06/2011,10022
Electricity,All,16095140.05,ALEXANDRIA,Residential,2011-07-01,30/06/2012,10022
Electricity,All,14850048.32,ALEXANDRIA,Residential,2013-07-01,30/06/2014,10022
Electricity,All,3217142.95,BEACONSFIELD,Residential,2006-07-01,30/06/2007,10140
Electricity,All,2195668.56,BEACONSFIELD,Residential,2007-07-01,30/06/2008,10140
Electricity,All,2185440.21,BEACONSFIELD,Residential,2008-07-01,30/06/2009,10140
Electricity,All,2208694.29,BEACONSFIELD,Residential,2009-07-01,30/06/2010,10140
Electricity,All,2202589.63,BEACONSFIELD,Residential,2010-07-01,30/06/2011,10140
Electricity,All,2073084.1,BEACONSFIELD,Residential,2011-07-01,30/06/2012,10140
Electricity,All,1901266.56,BEACONSFIELD,Residential,2013-07-01,30/06/2014,10140
Electricity,All,11353167.32,CAMPERDOWN (NSW),Residential,2006-07-01,30/06/2007,10445
Electricity,All,7812047.87,CAMPERDOWN (NSW),Residential,2007-07-01,30/06/2008,10445
Electricity,All,8256608.43,CAMPERDOWN (NSW),Residential,2008-07-01,30/06/2009,10445
Electricity,All,8895985.92,CAMPERDOWN (NSW),Residential,2009-07-01,30/06/2010,10445
Electricity,All,9228860.94,CAMPERDOWN (NSW),Residential,2010-07-01,30/06/2011,10445
Electricity,All,8906746.47,CAMPERDOWN (NSW),Residential,2011-07-01,30/06/2012,10445
Electricity,All,8208455.19,CAMPERDOWN (NSW),Residential,2013-07-01,30/06/2014,10445
